Komentar_Asli,Komentar_Labeling,Komentar_Bersih
"Seri terakhir goateed nya samsung tu ada di a52 series sisanya udahlah samsung buang² chipset binning an gajadi 😂 ,dulu pake a52 pingin upgrade ke a56 liat review sana sini akhirnya memantapkan dirin untuk melirik brand china poco f7 wkwkw emang secara software sih kalah ya sama samsung , cuman itu masih bisa di tolerir sih buat saya , selain software menurut saya pocin udah gaada lawan sih buat samsung di kelas midrange","Seri terakhir goateed nya samsung tu ada di a52 series sisanya udahlah samsung buang² chipset binning an gajadi 😂 ,dulu pake a52 pingin upgrade ke a56 liat review sana sini akhirnya memantapkan dirin untuk melirik brand china poco f7 wkwkw emang secara software sih kalah ya sama samsung , cuman itu masih bisa di tolerir sih buat saya , selain software menurut saya pocin udah gaada lawan sih buat samsung di kelas midrange",seri akhir goateed samsung tu a52 series sisa udahlah samsung buang chipset binning an gajadi dulu pake a52 pingin upgrade a56 liat review sana sini akhir mantap dirin lirik brand china poco f7 wkwkw emang cara software sih kalah sama samsung cuman masih tolerir sih buat selain software turut pocin gaada lawan sih buat samsung kelas midrange
2026 masih stay di A33 😂,2026 masih stay di A33 😂,2026 masih stay a33
Designnya gitu² aja,Designnya gitu² aja,designnya gitu
Setia dgn samsung dr s23 s24 s25 tp ketika kapasitas batre dan speed charge tetep kek tai skrg saya mencoba oppo find x9.. Jujur bukan sales oppo tp saya cukup menikmati color os dan pamit dgn samsung kentod,Setia dgn samsung dr s23 s24 s25 tp ketika kapasitas batre dan speed charge tetep kek tai skrg saya mencoba oppo find x9.. Jujur bukan sales oppo tp saya cukup menikmati color os dan pamit dgn samsung kentod,setia dgn samsung s23 s24 s25 ketika kapasitas batre speed charge tetep kek tai skrg coba oppo find x9 jujur bukan sales oppo cukup nikmat color os pamit dgn samsung kentod
nambah dikit dapet s25 fe,nambah dikit dapet s25 fe,nambah dikit dapet s25 fe
"Bang HTC rilis Smartphone lagi, HTC E5 E6 E7 elite mendukung 5G, batrei gede banget. tolong review dong 🙏","Bang HTC rilis Smartphone lagi, HTC E5 E6 E7 elite mendukung 5G, batrei gede banget. tolong review dong 🙏",htc rilis smartphone lagi htc e5 e6 e7 elite dukung 5g batrei gede banget tolong review dong
Adu sama a55 bang😅,Adu sama a55 bang😅,adu sama a55
"Gila daya tarik nya A series, langsung 1 jt cuy","Gila daya tarik nya A series, langsung 1 jt cuy",gila daya tarik series langsung jt cuy
"Maaf, terima kasih yaa. 9jt😂","Maaf, terima kasih yaa. 9jt😂",maaf terima kasih yaa 9jt
"Bang, kalo bisa test gaming nya masukin game deltaforce dong, biar cocok hp yang mana yang bagus","Bang, kalo bisa test gaming nya masukin game deltaforce dong, biar cocok hp yang mana yang bagus",test gaming masukin game deltaforce dong cocok handphone mana bagus
Infinix gt 50 bng,Infinix gt 50 bng,infinix gt 50 bng
Cuma ada di A52S kamera terbaiknya. sampe skrg saya msh puas.,Cuma ada di A52S kamera terbaiknya. sampe skrg saya msh puas.,cuma a52s kamera baik sampe skrg msh puas
bikin video perbandingan sama poco x8 promax dong,bikin video perbandingan sama poco x8 promax dong,bikin video banding sama poco x8 promax dong
"Ngecasnya lama,","Ngecasnya lama,",ngecasnya lama
Samsung 🎉😢 Harga segitu dapat itu upgrade nya 😮apakah tidak survey market,Samsung 🎉😢 Harga segitu dapat itu upgrade nya 😮apakah tidak survey market,samsung harga segitu dapat upgrade apakah tidak survey market
Aman ga si beli di tik tok shop xiaomi official?,Aman ga si beli di tik tok shop xiaomi official?,aman tidak si beli tik tok shop xiaomi official
"gede banget tuh kertas pointersnya bang, fix banyak perubahan.","gede banget tuh kertas pointersnya bang, fix banyak perubahan.",gede banget tuh kertas pointersnya fix banyak ubah
"gua masih bertahan di A52
dengan inflasi saat ini, harus betul2 ngitung kebutuhan","gua masih bertahan di A52 dengan inflasi saat ini, harus betul2 ngitung kebutuhan",gua masih tahan a52 inflasi saat harus betul2 ngitung butuh
Gausah dibeli biar tobat itu samseng,Gausah dibeli biar tobat itu samseng,gausah beli tobat samseng
Cakep,Cakep,cakep
"Karena taun ini harga RAM mulai tinggi ga sih, bikin samsung mikir-mikir dulu buat inovasi?","Karena taun ini harga RAM mulai tinggi ga sih, bikin samsung mikir-mikir dulu buat inovasi?",karena taun harga ram mulai tinggi tidak sih bikin samsung mikir mikir dulu buat inovasi
"Pakai a34 3tahunan, mash enak normal belum ada kepikiran buat upgrade 😂","Pakai a34 3tahunan, mash enak normal belum ada kepikiran buat upgrade 😂",pakai a34 3tahunan mash enak normal belum pikir buat upgrade
Tolong Infinix note 60 ultra bang hehhe,Tolong Infinix note 60 ultra bang hehhe,tolong infinix note 60 ultra hehhe
ett bang itu cuttingan pas bagian comment kaga rapiih gitu. premiere pro udh canggih. boleh bang kalo mau diganti video editornya. izin🫷,ett bang itu cuttingan pas bagian comment kaga rapiih gitu. premiere pro udh canggih. boleh bang kalo mau diganti video editornya. izin🫷,ett cuttingan pas bagi comment kaga rapiih gitu premiere pro canggih boleh mau ganti video editor izin
Reveiw hp buat ojol dong bang,Reveiw hp buat ojol dong bang,reveiw handphone buat ojol dong
Harganya ga ngotak wkwk nambah dikit mending seri S yg FE,Harganya ga ngotak wkwk nambah dikit mending seri S yg FE,harga tidak ngotak wkwk nambah dikit mending seri fe
Mana ni review camon 50 pro nya,Mana ni review camon 50 pro nya,mana ni review camon 50 pro
Mending fe gak sih klok harga sgtu,Mending fe gak sih klok harga sgtu,mending fe tidak sih klok harga sgtu
Samsung tidak pernah padam,Samsung tidak pernah padam,samsung tidak pernah padam
Dipantatin xiaomi 15t,Dipantatin xiaomi 15t,dipantatin xiaomi 15t
Ak nonton pake samsung A52......asli awet banget....😂 udah wktuny gnti hp nih....,Ak nonton pake samsung A52......asli awet banget....😂 udah wktuny gnti hp nih....,ak nonton pake samsung a52 asli awet banget wktuny gnti handphone nih
Sebelum Samsung ada android sudah sering pakenya hp Samsung selain Nokia,Sebelum Samsung ada android sudah sering pakenya hp Samsung selain Nokia,belum samsung android sering pakenya handphone samsung selain nokia
Ada samsung bekas yg mau d jual g bang??,Ada samsung bekas yg mau d jual g bang??,samsung bekas mau jual
Masih nyaman sama Samsung A55 belum pengen Ganti😂,Masih nyaman sama Samsung A55 belum pengen Ganti😂,masih nyaman sama samsung a55 belum ken ganti
_________________(garis hijau),_________________(garis hijau),garis hijau
memberi dislike untuk samsung,memberi dislike untuk samsung,beri dislike samsung
"Gw dpt d harga 6,3","Gw dpt d harga 6,3",gw dapat harga
Masih banyak yg demen walaupun bug sinyalnya gk sembuh2 🫢,Masih banyak yg demen walaupun bug sinyalnya gk sembuh2 🫢,masih banyak demen walaupun bug sinyal tidak sembuh2
"Bnr kata bg david, mending ambil s25fe harga beda tipis.
Jujur aja, saya dr dulu lebih suka hp compact + perhatikan hasil foto, video untuk hp diatas 5 jutaan.
Gpp sih dual kamera tapi dpt kamera utama dan tele/uw yg mantap hehe","Bnr kata bg david, mending ambil s25fe harga beda tipis. Jujur aja, saya dr dulu lebih suka hp compact + perhatikan hasil foto, video untuk hp diatas 5 jutaan. Gpp sih dual kamera tapi dpt kamera utama dan tele/uw yg mantap hehe",bnr kata bg david mending ambil s25fe harga beda tipis jujur dulu lebih suka handphone compact perhati hasil foto video handphone atas juta gpp sih dual kamera dapat kamera utama tele uw mantap hehe
Ngecek live performa hp pake app apa ?,Ngecek live performa hp pake app apa ?,ngecek live performa handphone pake app apa
Di harga yang sama mending ambil poco 😂,Di harga yang sama mending ambil poco 😂,harga sama mending ambil poco
Masih nyaman banget pake A55 tapi kalo ada rejeki mudah-mudahan bisa nambah beli Zfip..,Masih nyaman banget pake A55 tapi kalo ada rejeki mudah-mudahan bisa nambah beli Zfip..,masih nyaman banget pake a55 rejeki mudah mudah nambah beli zfip
User A56 nyimak,User A56 nyimak,user a56 nyimak
Stay A55.. masih enak jg dipakai.. kyknya 2028 baru masa ganti 😁 yah moga gantinya flagship 😇🤲,Stay A55.. masih enak jg dipakai.. kyknya 2028 baru masa ganti 😁 yah moga gantinya flagship 😇🤲,stay a55 masih enak juga pakai kyknya 2028 baru masa ganti yah moga ganti flagship
"1:41 Niat banget sindir upgradenya A57, sampe catatannya sekecil itu 🤣🤣","1:41 Niat banget sindir upgradenya A57, sampe catatannya sekecil itu 🤣🤣",41 niat banget sindir upgradenya a57 sampe catat kecil
"Buset saya make A55 berasa ketingalan , cepet bener","Buset saya make A55 berasa ketingalan , cepet bener",buset make a55 asa ketingalan cepet bener
Tim kaga nonton beli😢,Tim kaga nonton beli😢,tim kaga nonton beli
Wallpaper nya iphone 17 basic😅,Wallpaper nya iphone 17 basic😅,wallpaper iphone 17 basic
"Maaf ajah udah move on dari samsung. Mulai saya punya s20u, s21+, s21fe, s22u, s23+ semua kena light siber alias green line. Terakahir yah itu s23+. Sekarang pakai 16 promax ajah","Maaf ajah udah move on dari samsung. Mulai saya punya s20u, s21+, s21fe, s22u, s23+ semua kena light siber alias green line. Terakahir yah itu s23+. Sekarang pakai 16 promax ajah",maaf ajah move on samsung mulai punya s20u s21 s21fe s22u s23 semua kena light siber alias green line terakahir yah s23 sekarang pakai 16 promax ajah
"Masih setia nontonin ko David pake A52s, alhamdulillahhhh awetttt","Masih setia nontonin ko David pake A52s, alhamdulillahhhh awetttt",masih setia nontonin ko david pake a52s alhamdulillahhhh awetttt
Inget pakai A3 thn 2014,Inget pakai A3 thn 2014,inget pakai a3 thn 2014
Baru kali ini david terlihat kecewa dan tidak bersemangat ngebahas seri A5...,Baru kali ini david terlihat kecewa dan tidak bersemangat ngebahas seri A5...,baru kali david lihat kecewa tidak semangat ngebahas seri a5
Keburu ambil A56 😭😭,Keburu ambil A56 😭😭,keburu ambil a56
"Ampas mulu , harga , spek ga ngotak, bntr lagi harga drop bgt wkkw","Ampas mulu , harga , spek ga ngotak, bntr lagi harga drop bgt wkkw",ampas mulu harga spesifikasi tidak ngotak bntr lagi harga drop banget wkkw
"bang,gmn caranya ngatasin hp samsung a16 yg sensor sidik jari sampingnya gk bisa ngebaca sidik jari,udh dilakuin semua cara tetep gk mau,kalopun mau itu pernah sekali sekali dan itupun hrus ngulang lakuin caranya","bang,gmn caranya ngatasin hp samsung a16 yg sensor sidik jari sampingnya gk bisa ngebaca sidik jari,udh dilakuin semua cara tetep gk mau,kalopun mau itu pernah sekali sekali dan itupun hrus ngulang lakuin caranya",gmn cara ngatasin handphone samsung a16 sensor sidik jari samping tidak ngebaca sidik jari dilakuin semua cara tetep tidak mau kalo mau pernah sekali sekali itu hrus ngulang lakuin cara
Udh Kapok Beli samsung..beli A56 Ga dapet charger pelit di jual terpisah Harga Mahal kgak awet kbel datany ...skr kluar lg A57 sori yee udh KAPOK,Udh Kapok Beli samsung..beli A56 Ga dapet charger pelit di jual terpisah Harga Mahal kgak awet kbel datany ...skr kluar lg A57 sori yee udh KAPOK,kapok beli samsung beli a56 tidak dapet charger pelit jual pisah harga mahal kgak awet kbel datany skr kluar lg a57 sori yee kapok
"Percayalah sejelek2nya loe review merk ini, mereka tetap dilirik banyak orang","Percayalah sejelek2nya loe review merk ini, mereka tetap dilirik banyak orang",percaya sejelek2nya loe review merk tetap lirik banyak orang
Takut beli HP produk Samsung nanti kena GREEN LINE,Takut beli HP produk Samsung nanti kena GREEN LINE,takut beli handphone produk samsung nanti kena green line
Gw nontonnya pake A56😂,Gw nontonnya pake A56😂,gw nontonnya pake a56
wow,wow,wow
"A57 terlalu maksa terbit yee... 
Sejauh ini masih stay di A56 aja 😂",A57 terlalu maksa terbit yee... Sejauh ini masih stay di A56 aja 😂,a57 terlalu maksa terbit yee jauh masih stay a56
Malah ngantuk 😂,Malah ngantuk 😂,malah ngantuk
samsung kena ulti sama David hanya dengan secuil kertas list upgrade😅😅😅,samsung kena ulti sama David hanya dengan secuil kertas list upgrade😅😅😅,samsung kena ulti sama david hanya cuil kertas list upgrade
Nonton sambil rebahan pakai samsung A33 5G😂,Nonton sambil rebahan pakai samsung A33 5G😂,nonton sambil rebah pakai samsung a33 5g
Akhirny fix ganti merk,Akhirny fix ganti merk,akhirny fix ganti merk
Take notes nya pake kertas kecil satir banget😭😭😭😭,Take notes nya pake kertas kecil satir banget😭😭😭😭,take notes pake kertas kecil satir banget
"Sebenarnya pingin pake samsung lagi, tp trauma semenjak hp samsung aku hilang, bukan rusak tp krna hilang jadinya ganti hp, padahal biasanya awet hp sampai rusak baru ganti😢,. Emang berat punya hp bermerk.. Yg liat kadang punya niatan buruk😢","Sebenarnya pingin pake samsung lagi, tp trauma semenjak hp samsung aku hilang, bukan rusak tp krna hilang jadinya ganti hp, padahal biasanya awet hp sampai rusak baru ganti😢,. Emang berat punya hp bermerk.. Yg liat kadang punya niatan buruk😢",benar pingin pake samsung lagi trauma semenjak handphone samsung aku hilang bukan rusak krna hilang jadi ganti handphone padahal biasa awet handphone sampai rusak baru ganti emang berat punya handphone bermerk liat kadang punya niat buruk
Di ML bisa rata kanan gak tuh min?,Di ML bisa rata kanan gak tuh min?,ml rata kanan tidak tuh min
Suka aja nontonin review hp di chanel ini.. tapi nggak pernah ganti hp... masih bertahan dengan samsung s20fe... 😅😅,Suka aja nontonin review hp di chanel ini.. tapi nggak pernah ganti hp... masih bertahan dengan samsung s20fe... 😅😅,suka nontonin review handphone chanel tidak pernah ganti handphone masih tahan samsung s20fe
Tolonglah gaes jgn buru2 dibeli. Biar si samsnug ini sadar dulu sm saingan2 nya. Kesenengan mereka kalo terus2an diterima apa adanya gitu hanya karna merk ‘samsung’,Tolonglah gaes jgn buru2 dibeli. Biar si samsnug ini sadar dulu sm saingan2 nya. Kesenengan mereka kalo terus2an diterima apa adanya gitu hanya karna merk ‘samsung’,tolong gaes jgn buru2 beli si samsnug sadar dulu sama saingan2 neng terus2an terima apa ada gitu hanya karna merk samsung
"Akhirnya tayang jg di chanel ini,,,sngt dinanti-nanti.","Akhirnya tayang jg di chanel ini,,,sngt dinanti-nanti.",akhir tayang juga chanel sngt nanti nanti
Yg penting ngerekam video gak jitter seperti hp china,Yg penting ngerekam video gak jitter seperti hp china,penting ngerekam video tidak jitter seperti handphone china
Gua pake A55 hpnya berat banget cok,Gua pake A55 hpnya berat banget cok,gua pake a55 hpnya berat banget cok
Masih setia dengan a55 masih lamcar dan aman no macet macet,Masih setia dengan a55 masih lamcar dan aman no macet macet,masih setia a55 masih lamcar aman no macet macet
Min bahas hp Advan macha dong.,Min bahas hp Advan macha dong.,min bahas handphone advan macha dong
Xiaomi dh baguss apalgi seri note beeh cakp,Xiaomi dh baguss apalgi seri note beeh cakp,xiaomi dh baguss apalgi seri note beeh cakp
Masih setia sama samsung A51,Masih setia sama samsung A51,masih setia sama samsung a51
"Bg, buatin video rekomendasi laptop terbaik edisi 2026 doang, masih bingung tahun ini beli laptop apa!","Bg, buatin video rekomendasi laptop terbaik edisi 2026 doang, masih bingung tahun ini beli laptop apa!",bg buatin video rekomendasi laptop baik edisi 2026 doang masih bingung tahun beli laptop apa
Bang tolong review kan HP vivo Y05 yang katanya ini HP baru dengan harga 2jt an wort in gk buat main game kelas menengah?,Bang tolong review kan HP vivo Y05 yang katanya ini HP baru dengan harga 2jt an wort in gk buat main game kelas menengah?,tolong review kan handphone vivo y05 kata handphone baru harga 2jt an wort in tidak buat main game kelas tengah
Jaman sekarang udah liat mesin nya apa bukn merk nya apa,Jaman sekarang udah liat mesin nya apa bukn merk nya apa,jaman sekarang liat mesin apa bukn merk apa
Om bahas samsung a26 5G,Om bahas samsung a26 5G,om bahas samsung a26 5g
Info nyari samsung yang keluaran terbaru yg masih make ips dan chipset snapdragon.,Info nyari samsung yang keluaran terbaru yg masih make ips dan chipset snapdragon.,info nyari samsung keluar baru masih make ips chipset snapdragon
Gw pemuja samsung akhir ny pindah ke ip 17 😁,Gw pemuja samsung akhir ny pindah ke ip 17 😁,gw puja samsung akhir ny pindah ip 17
"Samsung ini ibarat kalo di mobil innova , gitu2 aja tapi ttp laku2 aja 😂","Samsung ini ibarat kalo di mobil innova , gitu2 aja tapi ttp laku2 aja 😂",samsung ibarat mobil innova gitu2 ttp laku2
Review Samsung galaxy tab S10 fe+ dong bang,Review Samsung galaxy tab S10 fe+ dong bang,review samsung galaxy tab s10 fe dong
"Aku udah beli yg kakaknya, A56 5G 😅
Belum jg dapet update apapun ,karena baru banget banget beli hahaha 😅","Aku udah beli yg kakaknya, A56 5G 😅 Belum jg dapet update apapun ,karena baru banget banget beli hahaha 😅",aku beli kakak a56 5g belum juga dapet update apa karena baru banget banget beli hahaha
Nunggu A60 ah....nanti bezzelnya lebih tipis dan simetris😂😂😂,Nunggu A60 ah....nanti bezzelnya lebih tipis dan simetris😂😂😂,nunggu a60 ah nanti bezzelnya lebih tipis simetris
Udah di masak sama Poco X8 pro MAX 😅,Udah di masak sama Poco X8 pro MAX 😅,masak sama poco x8 pro max
"Nonton ini masih pakai A55 yang udah dipake 2 tahun.dulu beli 5 jt an,ini a 57 udah tembus 7 jt keatas dengan upgrade secuil woilah","Nonton ini masih pakai A55 yang udah dipake 2 tahun.dulu beli 5 jt an,ini a 57 udah tembus 7 jt keatas dengan upgrade secuil woilah",nonton masih pakai a55 dipake tahun dulu beli jt an 57 tembus jt atas upgrade cuil woilah
